iter	Passed	Remaining
1027	7249	13906
1028	7255	13898
1029	7262	13890
1030	7269	13882
1031	7274	13873
1032	7282	13866
1033	7289	13859
1034	7295	13850
1035	7300	13840
1036	7307	13832
1037	7315	13828
1038	7321	13819
1039	7328	13811
1040	7335	13803
1041	7341	13795
1042	7348	13787
1043	7354	13779
1044	7361	13771
1045	7367	13763
1046	7375	13757
1047	7382	13751
1048	7391	13746
1049	7401	13745
1050	7413	13747
1051	7422	13744
1052	7432	13742
1053	7442	13741
1054	7474	13779
1055	7508	13822
1056	7536	13853
1057	7549	13856
1058	7565	13867
1059	7574	13863
1060	7591	13873
1061	7607	13882
1062	7615	13876
1063	7630	13884
1064	7644	13888
1065	7651	13881
1066	7662	13881
1067	7672	13879
1068	7681	13875
1069	7694	13879
1070	7705	13879
1071	7717	13879
1072	7727	13877
1073	7734	13869
1074	7741	13863
1075	7748	13855
1076	7755	13846
1077	7765	13846
1078	7778	13847
1079	7787	13843
1080	7793	13835
1081	7800	13827
1082	7815	13833
1083	7829	13838
1084	7842	13841
1085	7855	13844
1086	7864	13839
1087	7879	13846
1088	7895	13854
1089	7903	13849
1090	7918	13854
1091	7927	13851
1092	7936	13847
1093	7944	13841
1094	7952	13836
1095	7961	13830
1096	7969	13824
1097	7977	13819
1098	7993	13826
1099	8009	13835
1100	8015	13825
1101	8021	13815
1102	8027	13806
1103	8035	13799
1104	8040	13789
1105	8046	13778
1106	8051	13767
1107	8056	13756
1108	8061	13746
1109	8066	13735
1110	8072	13724
1111	8078	13715
1112	8083	13704
1113	8088	13693
1114	8093	13682
1115	8098	13671
1116	8103	13661
1117	8108	13650
1118	8114	13639
1119	8119	13629
1120	8124	13618
1121	8129	13606
1122	8134	13595
1123	8139	13584
1124	8144	13573
1125	8148	13562
1126	8154	13552
1127	8159	13540
1128	8164	13529
1129	8169	13518
1130	8174	13508
1131	8179	13497
1132	8184	13486
1133	8189	13475
1134	8194	13464
1135	8200	13454
1136	8205	13444
1137	8210	13433
1138	8215	13423
1139	8221	13413
1140	8226	13402
1141	8230	13391
1142	8235	13380
1143	8240	13369
1144	8245	13358
1145	8250	13348
1146	8256	13337
1147	8261	13327
1148	8266	13316
1149	8271	13306
1150	8277	13297
1151	8283	13288
1152	8289	13279
1153	8296	13271
1154	8302	13262
1155	8308	13253
1156	8314	13243
1157	8319	13233
1158	8324	13223
1159	8330	13213
1160	8335	13203
1161	8340	13192
1162	8346	13182
1163	8351	13172
1164	8356	13162
1165	8362	13153
1166	8367	13143
1167	8373	13133
1168	8378	13123
1169	8384	13114
1170	8390	13104
1171	8395	13095
1172	8401	13085
1173	8406	13075
1174	8413	13067
1175	8437	13087
1176	8445	13080
1177	8457	13080
1178	8467	13077
1179	8473	13069
1180	8480	13061
1181	8492	13061
1182	8503	13060
1183	8512	13057
1184	8531	13067
1185	8564	13099
1186	8580	13105
1187	8596	13111
1188	8609	13113
1189	8622	13114
1190	8639	13123
1191	8649	13119
1192	8659	13116
1193	8679	13128
1194	8719	13171
1195	8739	13181
1196	8750	13181
1197	8760	13176
1198	8770	13173
1199	8779	13168
1200	8788	13164
1201	8796	13157
1202	8803	13150
1203	8811	13143
1204	8819	13137
1205	8827	13131
1206	8834	13123
1207	8841	13115
1208	8848	13107
1209	8857	13103
1210	8867	13099
1211	8875	13093
1212	8885	13090
1213	8894	13085
1214	8906	13084
1215	8917	13083
1216	8925	13076
1217	8932	13069
1218	8938	13059
1219	8946	13052
